movie_id,movie_ver_id,movie_title,movie_director,movie_release_date,movie_synopsis,movie_duration_time,movie_main_genre,movie_total_gross,movie_rating
c1062701-52c5-328c-86b8-e2595bf2c26f,3c4ead26-616c-3d39-b6be-59f6ec0f447f,Journey to Bethlehem,Adam Anders,2023-11-10,"A young woman carrying an unimaginable responsibility. A young man torn between love and honor. A jealous king who will stop at nothing to keep his crown. This live-action Christmas musical adventure for the entire family weaves classic Christmas melodies with humor, faith and new pop songs in a retelling of the greatest story ever told, the story of Mary and Joseph and the birth of Jesus. A unique new entry into the collection of holiday classic movies, this epic Christmas musical is unlike any before it.",98,Kids & Family,6638000,94
69c3ded5-d30e-4d8f-8056-6eafe052299b,29ae5456-ce66-4dcc-86fb-19e8c8642944,Sam Bahadur,Meghna Gulzar,2023-12-01,"Based on the life of Sam Manekshaw, who was the Chief of the Army Staff of the Indian Army during the Indo-Pakistani War of 1971, and the first Indian Army officer to be promoted to the rank of field marshal.",140,Biography,,95
7e5e0bd6-8541-411a-99e5-251d8826c4cd,d2ebc7d9-d3ef-474e-b71b-0db3680f5747,Fallen Leaves,Aki Kaurismäki,2023-11-17,"In modern-day Helsinki, two lonely souls in search of love meet by chance in a local karaoke bar. However, the pair's path to happiness is beset by numerous obstacles -- from lost numbers to mistaken addresses, alcoholism, and a charming stray dog.",81,Comedy,467572,77
7b8d80fe-bc07-3960-a30b-bc5f2d16a6f1,3bdfbb3e-e3dc-3355-a1ef-96d501e27333,The Oath,Darin Scott,2023-12-08,"400 A.D., in a forgotten time of Ancient America, a lone Hebraic fugitive must preserve the history of his fallen nation while being hunted by a ruthless tyrant but rescuing the King's abused mistress could awaken a warrior's past.",104,Adventure,392352,86
865b81a4-aa57-4f52-b248-93d5cf3d7fe9,079e3bec-cb81-4e64-876e-ab823cbbf0da,The Zone of Interest,Jonathan Glazer,2023-12-15,"The commandant of Auschwitz, Rudolf Höss, and his wife Hedwig, strive to build a dream life for their family in a house and garden next to the camp.",106,History,130000,
95871f56-9197-431e-9bac-916c1bf67e31,b3d5474a-12ff-4615-9b11-a2fccf8b5c29,The Invisible Guest,Chen Zhuo,2023-12-15,"Young and beautiful entrepreneur Joanna is accused of being the culprit in a locked-room murder case, where the victim is her lover Minghao, during a time when her life and career are flourishing. In order to clear her name, she slowly gathers clues with the police officer Zheng Wei. As they investigate the case together, they discover another murder case that Joanna and Minghao had committed together. The truth gradually comes to light....",106,Crime,,
0b256b4d-ba5d-4a63-af23-ab989baceeab,9d2390cc-6b8d-4728-83f3-967ee8df8c85,Endless Journey,Mo Dai,2023,"The captain of the Criminal Investigation Brigade causes the death of a suspect and is sentenced to prison. After being released, he insists on tracking fugitives unauthorized.",132,Drama,,
22dec941-0149-4074-94ac-d3dc4f291e44,7819af75-d6be-4cb0-9df9-0e51b468fe27,Priscilla,Sofia Coppola,2023-10-27,"When teenage Priscilla Beaulieu meets Elvis Presley at a party, the man who is already a meteoric rock-and-roll superstar becomes someone entirely unexpected in private moments: a thrilling crush, an ally in loneliness, a vulnerable best friend. Through Priscilla’s eyes, Sofia Coppola tells the unseen side of a great American myth in Elvis and Priscilla's long courtship and turbulent marriage, from a German army base to his dream-world estate at Graceland, in this deeply felt and ravishingly detailed portrait of love, fantasy, and fame.",113,Drama,20191000,63
280fc921-c63a-338b-bed5-136e92aa72f8,410016f9-5f50-3c0d-ad17-c4a426a9cf61,Five Nights at Freddy's,Emma Tammi,2023-10-27,"The film follows a troubled security guard as he begins working at Freddy Fazbear's Pizza. While spending his first night on the job, he realizes the night shift at Freddy's won't be so easy to make it through.",110,Horror,137253856,87
62800336-736f-3393-bd03-c31106741746,1ad9ff16-64b5-325f-9e31-e393d6ce34b3,Die Hard,John McTiernan,1988-07-15,"New York City policeman John McClane (Bruce Willis) is visiting his estranged wife (Bonnie Bedelia) on Christmas Eve. He joins her at a holiday party in the headquarters of the Japanese-owned business she works for. But the festivities are interrupted by a group of terrorists who take over the exclusive high-rise, and everyone in it. Very soon McClane realizes that there's no one to save the hostages -- but him.",131,Action,82306256,94
0d73fef0-a705-49af-92b7-5417c157dd6c,0f18122d-9a02-4872-af31-e2b4f08d28db,Monster,Hirokazu Koreeda,2023-11-22,"When her young son Minato starts to behave strangely, his mother feels that there is something wrong. Discovering that a teacher is responsible, she storms into the school demanding to know what's going on. But as the story unfolds through the eyes of mother, teacher and child, the truth gradually emerges.",126,Drama,200743,93
4e8b9b2b-6ad6-3840-9249-14b326eb489d,ee7e40bb-2352-3739-a9af-7011b8b3aa77,Unit 262,Brian Eric Johnson,2023-12-05,"When the Israeli mob starts bringing drugs into the West Coast, one Special Agent from Unit 262 is assigned to infiltrate them and ultimately bring them down. His code name is 'Elijah' and once undercover he discovers that the Israeli mob is about to take on the Mexican Baja Cartel over the drug market from Los Angeles to Tijuana. Now stuck in the middle of a turf war -- the entire Unit 262 must take action!",84,Action,111251,
7331965d-4dac-3c5e-ad7a-ebe25282fa65,b760fabf-4c5b-39a9-bc85-51dacfad6e4f,Immediate Family,Denny Tedesco,2023-12-15,"Four musicians find lasting success but stay out of the limelight while performing with iconic singers Phil Collins, James Taylor, Carole King and others.",102,Documentary,46009,89
621955c8-b3e9-46db-b4bc-ca3e8718651d,399e5d55-9946-4349-b7f9-6401bba49925,Anatomy of a Fall,Justine Triet,2023-10-13,"For the past year, Sandra, her husband Samuel, and their eleven-year-old son Daniel have lived a secluded life in a remote town in the French Alps. When Samuel is found dead in the snow below their chalet, the police question whether he was murdered or committed suicide. Samuel's suspicious death is presumed murder, and Sandra becomes the main suspect. What follows is not just an investigation into the circumstances of Samuel's death but an unsettling psychological journey into the depths of Sandra and Samuel's conflicted relationship.",150,Mystery & Thriller,3639344,90
274f76dc-dc52-3034-9534-9c2698b7704a,0047f0c8-0f76-3c19-8710-ac97c34f8f98,Love Actually,Richard Curtis,2003-11-14,"Nine intertwined stories examine the complexities of the one emotion that connects us all: love. Among the characters explored are David (Hugh Grant), the handsome newly elected British prime minister who falls for a young junior staffer (Martine McCutcheon), Sarah (Laura Linney), a graphic designer whose devotion to her mentally ill brother complicates her love life, and Harry (Alan Rickman), a married man tempted by his attractive new secretary.",135,Holiday,60074944,72
07d7f9a2-3fa1-342a-b6ca-27fd594e04c6,11484cfc-782e-3a35-ad61-aca8f3415229,Oppenheimer,Christopher Nolan,2023-07-21,"During World War II, Lt. Gen. Leslie Groves Jr. appoints physicist J. Robert Oppenheimer to work on the top-secret Manhattan Project. Oppenheimer and a team of scientists spend years developing and designing the atomic bomb. Their work comes to fruition on July 16, 1945, as they witness the world's first nuclear explosion, forever changing the course of history.",180,History,326058176,91
dadc7cf0-269c-3c48-ac39-13ff47b5485a,8530dc14-7159-30f1-99dd-6ce65d894854,Next Goal Wins,Taika Waititi,2023-11-17,"Directed by Academy Award Winner Taika Waititi (Jojo Rabbit, Thor: Ragnarok), NEXT GOAL WINS follows the American Samoa soccer team, infamous for their brutal 31-0 FIFA loss in 2001. With the World Cup Qualifiers approaching, the team hires down-on-his-luck, maverick coach Thomas Rongen (Michael Fassbender) hoping he will turn the world's worst soccer team around in this heartfelt underdog comedy.",104,Comedy,6694428,85
074d59e2-cea9-45a9-8dd3-1dde157b31df,1596b23e-e261-413c-abaa-7ed5f0b1250f,The Sweet East,Sean Price Williams,2023-12-01,"The Sweet East is a picaresque journey through the cities and woods of the Eastern seaboard of the United States undertaken by Lillian, a high school senior from South Carolina who gets her first glimpse of the wider world on a class trip to Washington, D.C. Separated from her schoolmates, she embarks on a fractured fairy tale travelogue into America, where she is granted access to a variety of the strange factions that proliferate the present-day unreality of contemporary life.",104,Drama,70767,83
317d7155-533b-396f-8c1c-34a22e2e8ef9,f3d40d4d-7886-3a57-a041-bd3f94d4203f,Barbie,Greta Gerwig,2023-07-21,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",114,Comedy,636216128,83
713ac1ce-e990-35e9-83f1-f0baef4e5e66,92ec7797-c5a2-32e1-932b-161d5fcb1669,Godard Cinema,Cyril Leuthy,2023-12-15,"Jean-Luc Godard is synonymous with cinema. With the release of Breathless in 1960, he established himself overnight as a cinematic rebel and symbol for the era's progressive and anti-war youth. Sixty-two years and 140 films later, Godard is among the most renowned artists of all time, taught in every film school yet still shrouded in mystery. One of the founders of the French New Wave, political agitator, revolutionary misanthrope, film theorist and critic, the list of his descriptors goes on and on. Godard Cinema offers an opportunity for film lovers to look back at his career and the subjects and themes that obsessed him, while paying tribute to the ineffable essence of the most revered French director of all time.",100,Documentary,8252,
365f372d-b025-4d0a-91b5-114c32e23c7a,aa8e75bb-5ad9-489d-914e-27fa3f9451af,The Disappearance of Shere Hite,Nicole Newnham,2023-11-17,"Shere Hite's 1976 bestselling book, The Hite Report, liberated the female orgasm by revealing the most private experiences of thousands of anonymous survey respondents. Her findings rocked the American establishment and presaged current conversations about gender, sexuality, and bodily autonomy. So how did Shere Hite disappear?",117,Documentary,42841,97
cc3c81d1-41c1-36ce-99fc-e95646d552e7,436ad462-5d74-3abf-b6a2-e32f21cfc2b2,Total Trust,Jialing Zhang,2023-12-08,"TOTAL TRUST is an eye-opening and deeply disturbing documentary about surveillance technology, abuse of power and censorship. Through the haunting stories of people in China who have been monitored, intimidated and even tortured, the film sparks a global debate about the dangers that Big Data and AI pose to individual freedoms. A bracing portrait of a society for whom privacy is all but extinct and a warning for democratic states employing unprecedented security tactics, TOTAL TRUST sounds an alarm about the increasing use of surveillance tools around the world. If this is the present, what does our future look like?",97,Documentary,7835,
